,url,type,2nd_type,3rd_type,active
730,theantimedia.org,unreliable,bias,conspiracy,
731,TheAuReport.com,unknown,,,
732,theautogear.com,unknown,,,
733,thebeaverton.com,satire,,,
734,thebigriddle.com,fake,,,
735,theblaze.com,political,clickbait,,
736,thebostontribune.com,fake,,,
737,TheBRICSPost.com,unknown,,,
738,TheBrowser.com,unknown,,,
739,TheBurningPlatform.com,unknown,,,
740,thecarsmagazine.com,unknown,,,
741,thecivilian.co.nz,unknown,,,
742,thecommonsenseshow.com,fake,conspiracy,,
743,theconservativetreehouse.com,unknown,,,
744,thecontroversialfiles.net,fake,clickbait, ,
745,TheCroweHouse.com,unknown,,,
746,thedailybeast.com,political,,,
747,thedailybell.com,unknown,,,
748,TheDailyCoin.org,unknown,,,
749,TheDailyCrux.com,unknown,,,
750,thedailymash.co.uk,satire,,,
751,thedailysheeple.com,conspiracy,bias,,
752,thedailywtf.com,satire,,,
753,thedemocratic.site,unknown,,,
754,theduran.com,unreliable,,,
755,theearthchild.co.za,unknown,,,
756,theeconomiccollapseblog.com,conspiracy,bias,,
757,theeventchronicle.com,conspiracy,junksci,clickbait,
758,TheExtinctionProtocol.com,conspiracy,,,
759,thefederalistpapers.org,bias,conspiracy, ,
760,thefifthcolumnnews.com,political,,,
761,theforbiddenknowledge.com,conspiracy,junksci,,
762,thefreepatriot.org,fake,bias,clickbait,
763,thefreethoughtproject.com,unreliable,conspiracy,clickbait,
764,thegatewaypundit.com,bias,conspiracy,unreliable,
765,thegoldandoilguy.com/articles,unreliable,,,
766,thegoldwater.com,unknown,,,
767,thehardtimes.net,satire,,,
768,theineptowl.com,satire,,,
769,theinformedamerican.net,unreliable,,,
770,theintercept.com,political,,,
771,theinternetpost.net,fake,,,
772,thelastgreatstand.com,fake,conspiracy,bias,
773,thelastlineofdefense.org,satire,,,
774,thelibertybeacon.com,conspiracy,junksci,bias,
775,thelibertymill.com,unreliable,bias,conspiracy,
776,themadisonmisnomer.com,satire,,,
777,themideastbeast.com,satire,,,
778,themindunleashed.com,conspiracy,junksci,clickbait,
779,themindunleashed.org,conspiracy,junksci,clickbait,
780,themoralofthestory.us,fake,,,
781,themuslimissue.wordpress.com,hate,conspiracy,,
782,thenet24h.com,fake,,,
783,thenewamerican.com,bias,,,
784,thenewinquiry.com,unknown,,,
785,thenewsdoctors.com,bias,,,
786,TheNewsFile.com,unknown,,,
787,thenewsnerd.com,satire,,,
788,thenewyorkevening.com,fake,,,
789,theonion.com,satire,,,
790,theopenscroll.blogspot.com,unknown,,,
791,theorganicprepper.ca,unknown,,,
792,TheOutsiderClub.com,unknown,,,
793,theoxymoron.co.uk,unknown,,,
794,thepeoplescube.com,unknown,,,
795,ThePeoplesVoice.net,unknown,,,
796,thephaser.com,conspiracy,,,
797,thepoke.co.uk,satire,,,
798,thepoliticalcesspool.com,unknown,hate,,
799,thepoliticalinsider.com,conspiracy,bias,unreliable,
800,thepostemail.com,unknown,,,
801,theracketreport.com,fake,satire,,
802,therealstrategy.com,bias,conspiracy,hate,
803,therebel.media,unknown,,,
804,thereporterz.com,fake,,,
805,therightists.com,satire, ,,
806,therightplanet.com,unknown,,,
807,therightscoop.com,fake,clickbait,,
808,therightstuff.biz,hate,,,
809,therundownlive.com,unknown,,,
810,therussophile.org,unknown,,,
811,thesaker.is,unknown,,,
812,theseattletribune.com,satire,,,
813,theshovel.com.au,satire,,,
814,theskunk.org,satire,,,
815,thesleuthjournal.com,unknown,,,
816,thespoof.com,satire,,,
817,thestatelyharold.com,satire,,,
818,thetimesoftheworld.com,satire,,,
819,thetrumpmedia.com,fake,,,
820,thetruthaboutcancer.com,junksci,,,
821,thetruthdivision.com,fake,bias,,
822,thetruthseeker.co.uk,fake,conspiracy,junksci,
823,TheTruthWins.com,junksci,conspiracy,clickbait,
824,theunrealtimes.com,satire,,,
825,theusa-news.com,fake,,,
826,theuspatriot.com,satire,fake,,
827,thevalleyreport.com,satire,,,
828,TheVictoryReport.org,unknown,,,
829,thewashingtonpress.com,fake,,,
830,thewatchtowers.com,bias,conspiracy,clickbait,
831,TheWealthWatchman.com,unknown,,,
832,theworldstyle.com,unknown,,,
833,thinkprogress.org,political,,,
834,thirdworldtraveler.com,unknown,,,
835,thisismynewworld.com,unknown,,,
836,threepercenternation.com,fake,conspiracy,bias,
837,thrivemovement.com,unknown,,,
838,times.com.mx,fake,,,
839,tmzworldnews.com,fake,,,
840,TomWoods.com,political,unreliable,,
841,topekasnews.com,satire,,,
842,topinfopost.com,clickbait,unreliable,conspiracy,
843,topnewspolitics.com,unknown,,,
844,topratedviral.com,unknown,,,
845,toprightnews.com,unknown,,,
846,totalworldnews.com,unknown,,,
847,traderdan.com,unknown,,,
848,tradewithdave.com,unknown,,,
849,TragedyandHope.com,unknown,,,
850,trendingnewsguide.com,unknown,,,
851,trendingnewstoday.net,unknown,,,
852,tribuneherald.net,unknown,,,
853,tribunist.com,unknown,,,
854,TrueActivist.com,clickbait,unreliable,,
855,trueamericans.me,fake,,,
856,trueeconomics.blogspot.com,unknown,,,
857,truepundit.com,bias,clickbait,,
858,truetrumpers.com,fake,,,
859,trumpvision365.com,fake,,,
860,trunews.com,unknown,,,
861,truthandaction.org,bias,conspiracy,clickbait,
862,truthbroadcastnetwork.com,conspiracy,clickbait,,
863,truthfeed.com,hate,bias,conspiracy,
864,truthfrequencyradio.com,conspiracy, ,,
865,truthingold.com,unknown,,,
866,TruthInMedia.com,unknown,,,
867,truthkings.com,bias,conspiracy,junksci,
868,truthnetwork.com,unknown,,,
869,truthrevolt.org,bias,hate,,
870,TruthStreamMedia.com,unknown,,,
871,tunerspeed.com,unknown,,,
872,turnerradionetwork.com,unknown,,,
873,twitchy.com,clickbait,rumor,,
874,tyronetribulations.com,unknown,,,
875,ufoholic.com,conspiracy,,,
876,unclesamsmisguidedchildren.com,bias,,,
877,unconfirmedsources.com,satire,,,
878,undergroundhealth.com,unknown,,,
879,undergroundnewsreport.com,fake,,,
880,undergroundworldnews.com,fake,conspiracy,bias,
881,unionleader.com,unknown,,,
882,unitedmediapublishing.com,fake,,,
883,universepolitics.com,fake,,,
884,unz.com,bias,,,
885,us.blastingnews.com,satire,unreliable,,
886,usa-radio.com,fake,,,
887,usa-television.com,fake,,,
888,usa2016elections.com,fake,,,
889,usadailyinfo.com,fake,,,
890,usadailypolitics.com,fake,,,
891,usadailytime.com,fake,,,
892,usadosenews.com,fake,,,
893,usafirstinformation.com,fake,,,
894,usahitman.com,fake,conspiracy,,
895,usainfobox.com,fake,,,
896,usamagazinestudio.com,fake,,,
897,usanewsflash.com,fake,bias,clickbait,
898,usanewsinsider.com,fake,bias,clickbait,
899,usanewspolitics.com,fake,,,
900,usanewstoday.com,fake,,,
901,usaonlinepolitics.com,fake,clickbait,,
902,usaphase.com,fake,bias,,
903,usapolitics24hrs.com,fake,,,
904,usapoliticsdaily.com,unknown,,,
905,usapoliticsnow.com,fake,bias,,
906,usapoliticstoday.com,bias,unreliable,,
907,usapoliticszone.com,fake,,,
908,usapoliticus.com,unknown,,,
909,usascan.com,unknown,,,
910,usasnich.com,fake,,,
911,usasupreme.com,fake, ,,
912,usatoday.com.co,fake,,,N
913,usatodaynews.me,fake,,,
914,usatwentyfour.com,fake,,,
915,USAWatchdog.com,bias,,,
916,uschronicle.com,bias,conspiracy,hate,
917,usconservativetoday.com,fake,,,
918,usdefensewatch.com,unreliable,,,
919,usfanzone.com,fake,bias,,
920,ushealthyadvisor.com,fake,conspiracy,junksci,
921,ushealthylife.com,fake,,,
922,usherald.com,bias,conspiracy,fake,
923,usinfonews.com,fake,,,
924,uslifetoday.com,clickbait,,,
925,uspoliticslive.com,fake,bias,conspiracy,
926,uspoln.com,fake,,,
927,uspostman.com,fake,,,
928,usuncut.com,clickbait,bias,unreliable,
929,usviewer.com,unreliable,fake, ,
930,vdare.com,bias,hate,,
931,veteransnewsnow.com,unreliable,political,,
932,veteranstoday.com,bias,unreliable,,
933,vigilantcitizen.com,fake,conspiracy,,
934,viralactions.com,fake,,,
935,viralliberty.com,fake,bias,clickbait,
936,viraltube.nl,clickbait,,,
937,voxtribune.com,fake,,,
938,wakeupthesheep.com,conspiracy,,,
939,wakingtimes.com,junksci,,,
940,wakingupwisconsin.com,conspiracy, ,,
941,WallStreetOnParade.com,unreliable,,,
942,washingtonexaminer.com,political,unreliable, ,
943,washingtonfed.com,fake,,,
944,washingtonpost.com.co,fake,,,
945,washingtonsblog.com,bias,conspiracy,satire,
946,waterfordwhispersnews.com,satire,,,
947,wealthcycles.com,unknown,,,
948,wealthwire.com,unknown,,,
949,wearechange.org,bias,conspiracy,,
950,weaselzippers.us,unreliable,bias,,
951,webdaily.com,fake,conspiracy,bias,
952,weeklystandard.com,political,bias,,
953,weeklyworldnews.com,fake,rumor,clickbait,
954,weshapelife.org,conspiracy,junksci,,
955,westernjournalism.com,bias,clickbait,,
956,whatdoesitmean.com,conspiracy,,,
957,whatreallyhappened.com,conspiracy,rumor,,
958,whitepower.com,hate,conspiracy,bias,
959,whowhatwhy.com,unreliable,,,
960,whowhatwhy.org,conspiracy,,,
961,whydontyoutrythis.com,junksci,rumor,,
962,wideawakeamerica.com,unknown,,,N
963,WideAwakeNews.com,unknown,,,N
964,wikileaks.com,unreliable, , ,
965,wikileaks.org,unreliable, ,,
966,wikispooks.com,conspiracy,,,
967,WilliamBanzai7.blogspot.com,satire,,,
968,Willyloman.wordpress.com,conspiracy,,,
969,winkprogress.com,satire,,,
970,winningdemocrats.com,bias,unreliable, ,
971,witscience.org,satire,,,
972,wnd.com,bias,clickbait,unreliable,
973,WolfStreet.com,unreliable,,,
974,wonkie.com,satire,,,
975,world24monitor.com,unknown,,,
976,worldcallyoutoday.com,unknown,,,
977,worlddaily.info,unknown,,,
978,worldnewsdailyreport.com,satire,,,
979,worldnewspolitics.com,bias,,,
980,worldpoliticsnow.com,fake,,,
981,worldpoliticsus.com,fake,,,
982,worldrumor.com,fake,,,
983,worldstoriestoday.com,fake,,,
984,worldtruth.tv,conspiracy,junksci,,
985,worldwidehealthy.com,junksci,clickbait,,
986,wtoe5news.com,fake,satire,,
987,wundergroundmusic.com,satire,,,
988,www.rt.com,state,,,
989,X22Report.com,conspiracy,,,
990,yellowhammernews.com,political,,,
991,yesimright.com,fake,bias,,
992,Youngcons.com,bias,unreliable,,
993,yourfunpage.com,fake,,,
994,yournationnews.com,clickbait,,,
995,YourNewsline.wordpress.com,unknown,,,
996,yournewswire.com,clickbait,junksci,,
997,zaytung.com,unknown,,,
998,Zengardner.com,unknown,,,
999,zerohedge.com,conspiracy,,,
1000,zootfeed.com,conspiracy,,,
